# DaMaSCUS-SUN evaporation times
# format_version = 3
# DM_mass_GeV = 1.000000e-02
# DM_sigma_cm2 = 1.000000e-35
# sorted_by = lifetime_unbinding_sec rank trajectory_id
# rank trajectory_id lifetime_unbinding_sec
2	16612	8.3346496301e+00
2	6360	8.4368919646e+00
3	150	8.4782769765e+00
2	13342	8.5038543363e+00
2	10731	8.5185242644e+00
2	1410	8.5362804919e+00
3	10585	8.5561044828e+00
3	4975	8.6353295165e+00
1	16524	8.6741397613e+00
1	185	8.6888199889e+00
3	63	8.7056545345e+00
1	5969	8.7128706414e+00
3	16049	8.7342315696e+00
2	3474	8.7815748265e+00
3	13585	8.8161607733e+00
3	11402	8.8513531162e+00
1	2658	8.9280531825e+00
3	15339	8.9339445297e+00
0	15576	9.0522866505e+00
0	1969	9.0896989914e+00
0	16710	9.1506334392e+00
1	7020	9.1569312686e+00
3	7109	9.1592960379e+00
0	7947	9.1638712389e+00
2	16621	9.2007386355e+00
2	2265	9.2103061636e+00
2	11521	9.2417946306e+00
1	7534	9.2572955605e+00
0	1902	9.4777717842e+00
0	1213	9.5610345944e+00
3	11090	9.5926135422e+00
2	4693	9.6335208493e+00
0	2113	9.6815467779e+00
2	14272	9.7191261602e+00
3	17171	9.7478264798e+00
2	1392	9.7938545863e+00
1	16195	9.7952441643e+00
2	13972	9.8133748935e+00
2	14585	9.8252754093e+00
3	12341	9.8426635010e+00
1	6474	9.8865183316e+00
0	16794	9.8974392403e+00
1	1878	9.9248170736e+00
2	2223	9.9325117240e+00
3	4390	9.9360026894e+00
2	14081	9.9396026320e+00
0	6498	9.9969489208e+00
2	4360	1.0069409296e+01
2	2550	1.0089036812e+01
2	8358	1.0114767156e+01
3	15178	1.0166226453e+01
0	13445	1.0208320871e+01
1	16508	1.0256438741e+01
0	12883	1.0279300420e+01
2	16472	1.0317248824e+01
1	16480	1.0338807107e+01
1	8345	1.0355175175e+01
3	9679	1.0413086286e+01
1	5965	1.0450607011e+01
0	4135	1.0451403276e+01
3	3442	1.0454037525e+01
0	7494	1.0546823611e+01
2	3881	1.0625852817e+01
2	9826	1.0632677992e+01
3	5269	1.0650807525e+01
3	353	1.0686974574e+01
0	15225	1.0745663938e+01
1	13434	1.0766243621e+01
2	11867	1.0766401358e+01
1	10161	1.0820903734e+01
2	8001	1.1038366125e+01
3	9951	1.1039581769e+01
1	4235	1.1076776304e+01
3	282	1.1088987946e+01
3	10971	1.1093537922e+01
2	10775	1.1161458693e+01
2	4024	1.1168811020e+01
3	16148	1.1252313385e+01
3	10367	1.1315825359e+01
1	2663	1.1413571957e+01
0	2581	1.1423379309e+01
3	3554	1.1429395296e+01
0	36	1.1477156407e+01
2	12147	1.1508008525e+01
3	12218	1.1519538880e+01
0	7612	1.1531325201e+01
1	14687	1.1558257171e+01
3	235	1.1558715851e+01
0	15135	1.1560043122e+01
2	3194	1.1568348847e+01
2	283	1.1684222403e+01
1	6890	1.1958760488e+01
0	686	1.1966811285e+01
0	13514	1.1990754431e+01
2	496	1.2062533222e+01
0	16658	1.2085941432e+01
2	7893	1.2245413507e+01
2	396	1.2266276749e+01
0	16233	1.2274516384e+01
1	9047	1.2487022115e+01
1	16753	1.2490334472e+01
3	13311	1.2570755156e+01
3	6016	1.2579230365e+01
3	4862	1.2592858376e+01
0	9340	1.2649372597e+01
3	2718	1.2796986961e+01
3	1994	1.2801725623e+01
1	5715	1.2878998608e+01
3	9507	1.2908158490e+01
3	851	1.2916238225e+01
1	10192	1.2969130347e+01
3	6617	1.3065762146e+01
0	3608	1.3075241420e+01
1	7449	1.3152637107e+01
1	15300	1.3179873061e+01
3	5059	1.3193863199e+01
0	596	1.3196101514e+01
