label,quantile,run_log10_s,reference_log10_s,shift_dex,grid,seed,mpi_size
C-g20-s20260722-r4,0.9,5.560685189817051,5.679785263627418,-0.11910007381036714,20,20260722,4
C-g20-s20260722-r4,0.95,6.077931066052478,6.199334872192218,-0.12140380613974067,20,20260722,4
C-g20-s20260722-r4,0.99,7.016688997767067,7.37666592630541,-0.3599769285383436,20,20260722,4
C-g20-s20260723-r4,0.01,1.0282490292257842,1.1934697320005025,-0.16522070277471834,20,20260723,4
C-g20-s20260723-r4,0.05,1.8180874414116788,1.943466850837456,-0.1253794094257772,20,20260723,4
C-g20-s20260723-r4,0.1,2.175758749222253,2.3856583394902815,-0.2098995902680283,20,20260723,4
C-g20-s20260723-r4,0.25,3.3822393280512264,3.589462831956626,-0.20722350390539956,20,20260723,4
C-g20-s20260723-r4,0.5,4.079548043602426,4.234375965014967,-0.15482792141254098,20,20260723,4
C-g20-s20260723-r4,0.75,4.799294396652639,4.92987604261806,-0.130581645965421,20,20260723,4
C-g20-s20260723-r4,0.9,5.55607004704368,5.679785263627418,-0.1237152165837383,20,20260723,4
C-g20-s20260723-r4,0.95,6.047603231872275,6.199334872192218,-0.15173164031994357,20,20260723,4
C-g20-s20260723-r4,0.99,7.0553101716839155,7.37666592630541,-0.3213557546214947,20,20260723,4
C-g20-s20260724-r4,0.01,1.1085777663969734,1.1934697320005025,-0.08489196560352918,20,20260724,4
C-g20-s20260724-r4,0.05,1.8507787358887087,1.943466850837456,-0.09268811494874729,20,20260724,4
C-g20-s20260724-r4,0.1,2.2058179692306763,2.3856583394902815,-0.1798403702596052,20,20260724,4
C-g20-s20260724-r4,0.25,3.4376028443473934,3.589462831956626,-0.15185998760923258,20,20260724,4
C-g20-s20260724-r4,0.5,4.114233936128752,4.234375965014967,-0.12014202888621472,20,20260724,4
C-g20-s20260724-r4,0.75,4.827099178362445,4.92987604261806,-0.10277686425561505,20,20260724,4
C-g20-s20260724-r4,0.9,5.57305744757305,5.679785263627418,-0.10672781605436832,20,20260724,4
C-g20-s20260724-r4,0.95,6.1171378448496165,6.199334872192218,-0.08219702734260181,20,20260724,4
C-g20-s20260724-r4,0.99,7.213651371681125,7.37666592630541,-0.1630145546242856,20,20260724,4
C-g1000-s20260722-r4,0.01,1.2150702830923787,1.1934697320005025,0.021600551091876197,1000,20260722,4
C-g1000-s20260722-r4,0.05,1.932305506530298,1.943466850837456,-0.011161344307157872,1000,20260722,4
C-g1000-s20260722-r4,0.1,2.3767911163899944,2.3856583394902815,-0.008867223100287092,1000,20260722,4
C-g1000-s20260722-r4,0.25,3.587923486196428,3.589462831956626,-0.0015393457601979854,1000,20260722,4
C-g1000-s20260722-r4,0.5,4.235809402462048,4.234375965014967,0.0014334374470816869,1000,20260722,4
C-g1000-s20260722-r4,0.75,4.912620961783711,4.92987604261806,-0.017255080834349457,1000,20260722,4
C-g1000-s20260722-r4,0.9,5.686502947606858,5.679785263627418,0.006717683979439393,1000,20260722,4
C-g1000-s20260722-r4,0.95,6.170688628449859,6.199334872192218,-0.028646243742358912,1000,20260722,4
C-g1000-s20260722-r4,0.99,7.144914781291119,7.37666592630541,-0.23175114501429128,1000,20260722,4
C-g1000-s20260723-r4,0.01,1.2491392655693767,1.1934697320005025,0.05566953356887416,1000,20260723,4
C-g1000-s20260723-r4,0.05,1.9172308008691652,1.943466850837456,-0.026236049968290764,1000,20260723,4
C-g1000-s20260723-r4,0.1,2.3553584857956538,2.3856583394902815,-0.030299853694627732,1000,20260723,4
C-g1000-s20260723-r4,0.25,3.5554084371558172,3.589462831956626,-0.03405439480080874,1000,20260723,4
C-g1000-s20260723-r4,0.5,4.192499246496064,4.234375965014967,-0.0418767185189024,1000,20260723,4
C-g1000-s20260723-r4,0.75,4.879371629493022,4.92987604261806,-0.05050441312503828,1000,20260723,4
C-g1000-s20260723-r4,0.9,5.593520870925185,5.679785263627418,-0.0862643927022333,1000,20260723,4
C-g1000-s20260723-r4,0.95,6.145008739070447,6.199334872192218,-0.054326133121771036,1000,20260723,4
C-g1000-s20260723-r4,0.99,7.1928879242987005,7.37666592630541,-0.18377800200670968,1000,20260723,4
C-g1000-s20260724-r4,0.01,1.2154685228442994,1.1934697320005025,0.021998790843796856,1000,20260724,4
C-g1000-s20260724-r4,0.05,1.9636372951479573,1.943466850837456,0.0201704443105013,1000,20260724,4
